order,aic,bic,mse,mae,rmse
"(3,0,2)",12642.944587469497,12689.98895344944,0.6684192601293816,0.7020999037625015,0.817569116423426
"(3,0,3)",12645.905455873115,12699.670445564478,0.6807511680473591,0.7192864785898797,0.8250764619399581
"(2,1,2)",12646.74009985097,12680.342402414597,0.7077373765767055,0.4340241482533812,0.8412712859575712
"(3,1,3)",12649.732103092781,12696.775326681862,0.701255042216911,0.4361982982476856,0.8374097218309035
"(3,1,2)",12650.961321294271,12691.284084370625,0.7001903885072182,0.43665009226757046,0.8367737976939874
"(2,0,1)",12652.001470631543,12685.604589188646,0.66863944239031,0.7032700973471132,0.81770376200083
"(2,1,3)",12652.031546642134,12692.354309718488,0.701167378048454,0.43623305194333356,0.8373573777357276
"(2,0,2)",12653.315206046149,12693.638948314672,0.6640255358705613,0.6957090806282613,0.8148776201802093
"(2,0,3)",12654.948565425617,12701.992931405559,0.6654240088350994,0.6977734465949302,0.8157352565845731
"(1,1,1)",12655.825474758036,12675.986856296213,0.7090780058879776,0.4337070645356146,0.8420676967370128
"(1,1,2)",12657.056830521971,12683.938672572875,0.7056274366633989,0.43467692376735045,0.8400163311885066
"(2,1,1)",12657.079507088314,12683.961349139217,0.7057672217071097,0.4346330287260799,0.8400995308337635
"(3,1,1)",12658.281935867497,12691.884238431125,0.7022891073461257,0.4357580634182191,0.8380269132588318
"(1,1,3)",12658.64092536435,12692.243227927978,0.7037466200016501,0.43527006015364417,0.8388960722292423
"(2,2,3)",12674.334443627287,12714.656227351643,0.6964737733938711,0.43754100156393394,0.8345500424743091
"(3,2,3)",12676.423774450483,12723.465855462231,0.695256494769048,0.43810788060184563,0.833820421175356
"(1,0,3)",12887.139910397762,12927.463652666285,0.7319383396271663,0.7885478655071895,0.8555339500143558
"(1,0,2)",12887.161706812378,12920.76482536948,0.733284295162116,0.7898248044125604,0.8563202059756129
"(3,0,0)",12894.651755058348,12928.254873615451,0.7349258457179371,0.7913689305917633,0.8572781612276945
"(3,0,1)",12896.663449324884,12936.987191593407,0.7345717970679838,0.7910342476973613,0.8570716405692023
"(1,0,1)",12922.644818181438,12949.52731302712,0.7352736288113596,0.7916901318052723,0.8574809786877838
"(2,0,0)",12933.054874681984,12959.937369527666,0.7359850498222842,0.792351813253386,0.8578957103414635
"(1,0,0)",12979.830114113673,12999.991985247934,0.7382411640002584,0.794434153804992,0.8592096158681294
"(0,1,3)",13031.773222321419,13058.655064372322,0.7909624347650518,0.4583012277939025,0.8893606887900161
"(0,1,2)",13096.869718341004,13117.031099879181,0.7896616403335157,0.4574888006373576,0.8886290791626817
"(0,2,3)",13107.425237647843,13134.306426797415,0.7092139528070843,0.44043266508954987,0.8421484149525452
"(3,1,0)",13157.266795833904,13184.148637884808,0.7873845504244799,0.4560692131196997,0.8873469166140602
"(3,2,2)",13162.049579466231,13202.371363190587,0.7287682616043288,0.4351212834770519,0.85367924983821
"(3,2,1)",13167.462359946294,13201.063846383258,0.715194554650405,0.4378099818630811,0.8456917610160365
"(2,1,0)",13167.885182903163,13188.04656444134,0.7865433295957173,0.45554023034909724,0.8868727809532307
"(2,2,1)",13177.989904520782,13204.871093670354,0.7171340321376344,0.4371432435322027,0.8468376657527902
"(0,1,1)",13224.164167198809,13237.60508822426,0.7839089253403199,0.4539345688559093,0.8853863141817361
"(1,2,3)",13231.41407229241,13265.015558729374,0.715257836607248,0.43679487550434126,0.8457291745040181
"(0,2,2)",13234.191451542258,13254.352343404436,0.7179641703183821,0.436505823750315,0.8473276640818368
"(1,1,0)",13273.236181581267,13286.677102606718,0.7808743508739928,0.4522220994245688,0.8836709516975155
"(2,2,2)",13279.279611214555,13312.88109765152,0.7192071937011829,0.4353737776351403,0.8480608431599603
"(1,2,1)",13283.082303105713,13303.243194967892,0.723398151311664,0.4350568690352293,0.8505281602108562
"(1,2,2)",13407.496717555781,13434.377906705353,0.7294894115100161,0.43390170313125687,0.8541015229526383
"(0,2,1)",13425.266415384125,13438.707009958911,0.7440373553018521,0.43600701866535196,0.8625759997251559
"(0,0,3)",14365.962238897344,14399.565357454447,0.741072034194076,0.7968099748222598,0.8608554084130946
"(3,2,0)",15093.032512982347,15119.913702131918,97.81352989977721,8.47445710817583,9.890072289916652
"(0,0,2)",15289.461793800276,15316.344288645958,0.7413009635535913,0.7970165832227496,0.8609883643543572
"(2,2,0)",15513.184220580786,15533.345112442965,347.3739303769106,16.051313335508418,18.63797012490659
"(1,2,0)",16596.752464693822,16610.193059268608,1024.8824545629357,27.644586300828216,32.01378538322102
"(0,0,1)",16881.59202922714,16901.7539003614,0.7414979415124041,0.7971911243416406,0.8611027473608501
