Date,Intensité,Vitesse,T.Bob1,T.Bob2,T.Bob3,T.Pal1,T.Pal2,Vibration,T.Pal1 vent,T.Pal2 vent,Débit_air,Anomalie_Type,Anomalie_Binaire
2020-06-01 00:00:00,1017.23,758.61,88.12,84.68,87.66,57.37,58.39,3.22,34.12,29.78,186993.14,Normal,0
2020-06-01 01:00:00,1202.63,916.18,104.54,101.09,104.26,58.77,65.51,4.53,34.75,32.54,229736.41,Normal,0
2020-06-01 02:00:00,1202.65,916.11,109.59,106.23,109.36,60.35,68.74,4.44,34.27,33.66,231701.05,Normal,0
2020-06-01 03:00:00,1203.9,916.08,112.14,108.71,111.75,61.63,70.7,4.3,33.31,33.16,232777.0,Normal,0
2020-06-01 04:00:00,1207.26,916.08,113.66,110.15,113.16,62.54,72.01,4.28,32.56,32.47,234782.82,Normal,0
2020-06-01 05:00:00,1199.22,916.02,114.27,110.73,113.71,63.14,72.82,3.33,32.22,31.92,230026.18,Normal,0
2020-06-01 06:00:00,1223.61,916.07,114.99,111.33,114.33,63.48,73.19,3.6,31.76,31.26,233071.48,Normal,0
2020-06-01 07:00:00,1222.9,916.08,115.41,111.75,114.75,63.86,73.4,4.14,31.89,31.41,233443.65,Normal,0
2020-06-01 08:00:00,1216.27,916.08,115.66,112.0,114.97,64.26,73.47,4.04,32.25,32.26,232229.84,Normal,0
2020-06-01 09:00:00,1221.28,916.09,116.3,112.67,115.66,65.04,74.27,4.06,32.91,33.22,233472.04,Normal,0
2020-06-01 10:00:00,1225.67,916.0,117.27,113.63,116.63,66.07,75.22,3.66,33.95,34.34,233536.62,Normal,0
2020-06-01 11:00:00,1204.47,915.96,118.26,114.69,117.72,67.35,76.55,3.47,35.42,35.48,229855.19,Normal,0
2020-06-01 12:00:00,72.98,67.46,102.49,100.18,103.3,67.49,73.56,0.65,39.76,38.58,16099.37,Normal,0
2020-06-01 13:00:00,0.0,0.0,82.19,80.94,84.13,57.56,64.17,0.54,34.95,33.61,21.89,Normal,0
2020-06-01 14:00:00,0.0,0.01,65.1,64.87,67.77,49.11,56.05,0.51,33.29,32.38,0.0,Normal,0
2020-06-01 15:00:00,293.33,0.21,57.47,57.96,61.34,46.48,51.43,0.55,32.91,32.48,0.0,Normal,0
2020-06-01 16:00:00,1100.0,0.0,52.31,53.04,56.61,43.76,47.61,0.56,32.67,32.65,36.19,Normal,0
2020-06-01 17:00:00,1036.14,0.79,50.26,51.19,54.79,43.89,46.07,0.53,32.9,33.04,0.0,Normal,0
2020-06-01 18:00:00,454.74,139.0,54.85,54.88,59.75,45.84,46.69,1.0,34.18,33.89,30331.26,Normal,0
2020-06-01 19:00:00,414.93,222.61,64.98,64.23,70.46,48.56,49.79,1.04,37.23,35.79,47365.67,Normal,0
