Ordre,AIC,BIC
"(3, 0, 2)",12642.944587469497,12689.98895344944
"(3, 0, 3)",12645.905455873115,12699.670445564478
"(2, 1, 2)",12646.74009985097,12680.342402414597
"(2, 0, 1)",12652.001470631543,12685.604589188646
"(2, 0, 2)",12653.315206046149,12693.638948314672
"(2, 0, 3)",12654.948565425617,12701.992931405559
"(1, 0, 3)",12887.139910397762,12927.463652666285
"(1, 0, 2)",12887.161706812378,12920.76482536948
"(3, 0, 0)",12894.651755058348,12928.254873615451
"(3, 0, 1)",12896.663449324884,12936.987191593407
"(1, 0, 1)",12922.644818181438,12949.52731302712
"(2, 0, 0)",12933.054874681984,12959.937369527666
"(1, 0, 0)",12979.830114113673,12999.991985247934
"(0, 0, 3)",14365.962238897344,14399.565357454447
"(0, 0, 2)",15289.461793800276,15316.344288645958
"(0, 0, 1)",16881.59202922714,16901.7539003614
"(0, 0, 0)",21243.88390089578,21257.32514831862
