Date,Prévision,IC_Inférieur_95%,IC_Supérieur_95%
2021-04-26 19:00:00,2.1719732,1.109519,3.2344275
2021-04-27 19:00:00,2.1743987,1.1119444,3.236853
2021-04-28 19:00:00,2.2890437,1.2265894,3.351498
2021-04-29 19:00:00,2.4330602,1.370606,3.4955144
2021-04-30 19:00:00,2.5648592,1.5024049,3.6273134
2021-05-01 19:00:00,2.6791103,1.6166561,3.7415645
2021-05-02 19:00:00,2.7701867,1.7077324,3.832641
2021-05-03 19:00:00,2.8352172,1.772763,3.8976715
2021-05-04 19:00:00,2.8750167,1.8125625,3.937471
2021-05-05 19:00:00,2.892904,1.8304498,3.9553583
2021-05-06 19:00:00,2.8936908,1.8312366,3.956145
2021-05-07 19:00:00,2.8828075,1.8203533,3.9452617
2021-05-08 19:00:00,2.8655965,1.8031423,3.9280508
2021-05-09 19:00:00,2.8466997,1.7842455,3.909154
2021-05-10 19:00:00,2.8298426,1.7673883,3.8922968
2021-05-11 19:00:00,2.8175504,1.7550962,3.8800046
2021-05-12 19:00:00,2.8112063,1.7487521,3.8736606
2021-05-13 19:00:00,2.8111207,1.7486665,3.873575
2021-05-14 19:00:00,2.816832,1.7543778,3.8792863
2021-05-15 19:00:00,2.827378,1.7649238,3.8898323
2021-05-16 19:00:00,2.8415015,1.7790473,3.9039557
2021-05-17 19:00:00,2.8578498,1.7953956,3.920304
2021-05-18 19:00:00,2.8750718,1.8126175,3.937526
2021-05-19 19:00:00,2.8920033,1.8295491,3.9544575
2021-05-20 19:00:00,2.9078097,1.8453555,3.970264
2021-05-21 19:00:00,2.9220784,1.8596241,3.9845326
2021-05-22 19:00:00,2.9344504,1.8719962,3.9969046
2021-05-23 19:00:00,2.9449196,1.8824654,4.007374
2021-05-24 19:00:00,2.9536638,1.8912096,4.016118
2021-05-25 19:00:00,2.9608467,1.8983924,4.023301
2021-05-26 19:00:00,2.9683557,1.9059014,4.03081
2021-05-27 19:00:00,2.9745326,1.9120784,4.036987
2021-05-28 19:00:00,2.9803805,1.9179263,4.0428348
2021-05-29 19:00:00,2.985959,1.9235048,4.0484133
2021-05-30 19:00:00,2.9913688,1.9289145,4.053823
2021-05-31 19:00:00,2.9966908,1.9342365,4.059145
2021-06-01 19:00:00,3.001967,1.9395127,4.064421
2021-06-02 19:00:00,3.0072155,1.9447613,4.0696697
2021-06-03 19:00:00,3.0124357,1.9499815,4.07489
2021-06-04 19:00:00,3.0176182,1.955164,4.0800724
2021-06-05 19:00:00,3.022746,1.9602919,4.0852003
2021-06-06 19:00:00,3.0278015,1.9653473,4.0902557
2021-06-07 19:00:00,3.032766,1.9703119,4.0952206
2021-06-08 19:00:00,3.0376234,1.9751692,4.1000776
2021-06-09 19:00:00,3.042358,1.9799037,4.104812
2021-06-10 19:00:00,3.0469565,1.9845023,4.109411
2021-06-11 19:00:00,3.0514095,1.9889553,4.113864
2021-06-12 19:00:00,3.055708,1.9932537,4.118162
2021-06-13 19:00:00,3.0598466,1.9973924,4.122301
2021-06-14 19:00:00,3.0638242,2.00137,4.1262784
2021-06-15 19:00:00,3.067639,2.005185,4.1300936
2021-06-16 19:00:00,3.0712955,2.0088413,4.13375
2021-06-17 19:00:00,3.0747976,2.0123434,4.137252
2021-06-18 19:00:00,3.078153,2.0156987,4.140607
2021-06-19 19:00:00,3.0813704,2.0189161,4.1438246
2021-06-20 19:00:00,3.0844595,2.0220053,4.1469135
2021-06-21 19:00:00,3.0874305,2.0249763,4.1498847
2021-06-22 19:00:00,3.090293,2.0278387,4.152747
2021-06-23 19:00:00,3.093056,2.0306017,4.15551
2021-06-24 19:00:00,3.0957277,2.0332735,4.158182
